"","fips_code","civilian_labor_force_2018","employed_2018","unemployed_2018","unemployment_rate_2018","civilian_labor_force_2019","employed_2019","unemployed_2019","unemployment_rate_2019","civilian_labor_force_2020","employed_2020","unemployed_2020","unemployment_rate_2020","civilian_labor_force_2021","employed_2021","unemployed_2021","unemployment_rate_2021","civilian_labor_force_2022","employed_2022","unemployed_2022","unemployment_rate_2022"
"151","05091",19398,18471,927,4.8,19595,18801,794,4.1,19100,17751,1349,7.1,18760,17834,926,4.9,18764,18032,732,3.9
"152","05093",17238,16271,967,5.6,17249,16381,868,5,17062,15483,1579,9.3,16233,15080,1153,7.1,16376,15517,859,5.2
"153","05095",2726,2611,115,4.2,2733,2618,115,4.2,2688,2505,183,6.8,2610,2469,141,5.4,2556,2443,113,4.4
"154","05097",3033,2891,142,4.7,2957,2821,136,4.6,2925,2718,207,7.1,2885,2742,143,5,2865,2728,137,4.8
"155","05099",3625,3500,125,3.4,3626,3485,141,3.9,3500,3289,211,6,3350,3211,139,4.1,3443,3308,135,3.9
"156","05101",3282,3172,110,3.4,3296,3182,114,3.5,3145,2981,164,5.2,3178,3078,100,3.1,3204,3108,96,3
"157","05103",9701,9258,443,4.6,9769,9273,496,5.1,9714,9113,601,6.2,9647,9261,386,4,9656,9279,377,3.9
"158","05105",4221,4047,174,4.1,4278,4106,172,4,4090,3856,234,5.7,4115,3944,171,4.2,4229,4075,154,3.6
"159","05107",6535,6141,394,6,6312,5942,370,5.9,6226,5642,584,9.4,5829,5381,448,7.7,5609,5257,352,6.3
"160","05109",4273,4100,173,4,4214,4055,159,3.8,4215,3960,255,6,4199,4012,187,4.5,4081,3930,151,3.7
"161","05111",10070,9687,383,3.8,9957,9617,340,3.4,9683,9132,551,5.7,9801,9418,383,3.9,9990,9652,338,3.4
"162","05113",8017,7690,327,4.1,8016,7684,332,4.1,7904,7364,540,6.8,7722,7372,350,4.5,7870,7582,288,3.7
"163","05115",28812,27544,1268,4.4,28839,27616,1223,4.2,27514,25850,1664,6,27139,26036,1103,4.1,27695,26624,1071,3.9
"164","05117",3534,3399,135,3.8,3582,3430,152,4.2,3567,3372,195,5.5,3536,3404,132,3.7,3546,3441,105,3
"165","05119",187319,180881,6438,3.4,188189,181855,6334,3.4,187277,173081,14196,7.6,185928,176789,9139,4.9,189654,183049,6605,3.5
"166","05121",7120,6838,282,4,7254,6977,277,3.8,7354,6908,446,6.1,7270,6977,293,4,7248,7002,246,3.4
"167","05123",8236,7820,416,5.1,8129,7716,413,5.1,7923,7284,639,8.1,7625,7153,472,6.2,7592,7221,371,4.9
"168","05125",58322,56548,1774,3,59076,57438,1638,2.8,58198,55203,2995,5.1,58254,56393,1861,3.2,60040,58385,1655,2.8
"169","05127",4363,4206,157,3.6,4296,4153,143,3.3,4291,4095,196,4.6,4173,4030,143,3.4,4230,4111,119,2.8
"170","05129",2907,2782,125,4.3,2885,2756,129,4.5,2840,2654,186,6.5,2889,2763,126,4.4,2875,2746,129,4.5
"171","05131",56461,54466,1995,3.5,56382,54554,1828,3.2,55695,52300,3395,6.1,54536,52482,2054,3.8,55312,53598,1714,3.1
"172","05133",5562,5309,253,4.5,5483,5223,260,4.7,5471,5145,326,6,5338,5097,241,4.5,5438,5227,211,3.9
"173","05135",5748,5475,273,4.7,5718,5438,280,4.9,5645,5232,413,7.3,5634,5353,281,5,5842,5601,241,4.1
"174","05137",4759,4546,213,4.5,4702,4482,220,4.7,4566,4235,331,7.2,4514,4283,231,5.1,4590,4399,191,4.2
"175","05139",15873,15007,866,5.5,15672,14864,808,5.2,15424,14109,1315,8.5,14934,14024,910,6.1,14840,14129,711,4.8
"176","05141",5850,5543,307,5.2,5736,5454,282,4.9,5699,5283,416,7.3,5816,5530,286,4.9,5960,5705,255,4.3
"177","05143",121768,118601,3167,2.6,123993,120975,3018,2.4,126006,120107,5899,4.7,127763,124018,3745,2.9,134071,130955,3116,2.3
"178","05145",33411,31963,1448,4.3,33670,32182,1488,4.4,33606,31453,2153,6.4,33654,32280,1374,4.1,34288,33086,1202,3.5
"179","05147",2784,2654,130,4.7,2749,2607,142,5.2,2790,2624,166,5.9,2751,2611,140,5.1,2806,2708,98,3.5
"180","05149",8435,8085,350,4.1,8325,7996,329,4,7829,7420,409,5.2,7796,7478,318,4.1,7941,7636,305,3.8
"181","06001",841578,815841,25737,3.1,843043,817987,25056,3,819689,746490,73199,8.9,812967,763473,49494,6.1,825606,798404,27202,3.3
"182","06003",547,522,25,4.6,542,514,28,5.2,515,455,60,11.7,513,471,42,8.2,501,474,27,5.4
"183","06005",14672,14070,602,4.1,14834,14254,580,3.9,14502,13142,1360,9.4,14399,13392,1007,7,14350,13716,634,4.4
"184","06007",101813,96658,5155,5.1,98123,93097,5026,5.1,93416,84666,8750,9.4,92217,85857,6360,6.9,91978,87878,4100,4.5
"185","06009",21165,20310,855,4,21358,20538,820,3.8,21395,19725,1670,7.8,21605,20356,1249,5.8,22266,21455,811,3.6
"186","06011",10845,9412,1433,13.2,10989,9573,1416,12.9,10644,8894,1750,16.4,10669,9331,1338,12.5,10221,9035,1186,11.6
"187","06013",560322,542300,18022,3.2,560966,543515,17451,3.1,547376,498091,49285,9,543996,509294,34702,6.4,551477,532060,19417,3.5
"188","06015",9711,9155,556,5.7,9636,9076,560,5.8,9447,8535,912,9.7,9351,8641,710,7.6,9363,8884,479,5.1
"189","06017",91032,87721,3311,3.6,92335,89061,3274,3.5,91063,83355,7708,8.5,91879,86553,5326,5.8,93382,90231,3151,3.4
"190","06019",446175,412405,33770,7.6,451318,418386,32932,7.3,446507,394472,52035,11.7,444507,403870,40637,9.1,453183,424273,28910,6.4
"191","06021",12767,11927,840,6.6,13009,12206,803,6.2,12784,11633,1151,9,12628,11741,887,7,12861,12175,686,5.3
"192","06023",62538,60272,2266,3.6,62240,59978,2262,3.6,59871,54757,5114,8.5,58907,55194,3713,6.3,59520,57147,2373,4
"193","06025",71112,57756,13356,18.8,73647,58403,15244,20.7,71686,55464,16222,22.6,69015,56963,12052,17.5,70004,59736,10268,14.7
