"","fips","n_charging_locations"
"1463",40113,4
"1464",40115,2
"1465",40117,1
"1466",40119,6
"1467",40121,4
"1468",40123,6
"1469",40125,2
"1470",40127,1
"1471",40131,5
"1472",40133,2
"1473",40135,2
"1474",40137,3
"1475",40139,3
"1476",40141,1
"1477",40143,66
"1478",40145,3
"1479",40147,5
"1480",40151,1
"1481",40153,2
"1482",41001,3
"1483",41003,26
"1484",41005,115
"1485",41007,23
"1486",41009,17
"1487",41011,26
"1488",41013,8
"1489",41015,5
"1490",41017,60
"1491",41019,28
"1492",41021,1
"1493",41023,4
"1494",41025,3
"1495",41027,20
"1496",41029,60
"1497",41031,19
"1498",41033,6
"1499",41035,30
"1500",41037,1
"1501",41039,89
"1502",41041,37
"1503",41043,14
"1504",41045,4
"1505",41047,83
"1506",41049,3
"1507",41051,203
"1508",41053,19
"1509",41057,16
"1510",41059,14
"1511",41061,7
"1512",41063,3
"1513",41065,19
"1514",41067,178
"1515",41069,3
"1516",41071,45
"1517",42001,18
"1518",42003,329
"1519",42005,2
"1520",42007,7
"1521",42009,13
"1522",42011,27
"1523",42013,13
"1524",42015,8
"1525",42017,82
"1526",42019,20
"1527",42021,6
"1528",42025,7
"1529",42027,26
"1530",42029,99
"1531",42031,2
"1532",42033,5
"1533",42035,3
"1534",42037,7
"1535",42039,6
"1536",42041,51
"1537",42043,51
"1538",42045,47
"1539",42047,1
"1540",42049,25
"1541",42051,7
"1542",42055,9
"1543",42057,2
"1544",42061,2
"1545",42063,9
"1546",42069,17
"1547",42071,113
"1548",42073,3
"1549",42075,10
"1550",42077,64
"1551",42079,31
"1552",42081,9
"1553",42083,2
"1554",42085,8
"1555",42087,4
"1556",42089,15
"1557",42091,199
"1558",42093,5
"1559",42095,42
"1560",42099,2
"1561",42101,147
"1562",42103,4
"1563",42107,8
"1564",42109,2
"1565",42111,6
"1566",42113,1
"1567",42115,1
"1568",42117,8
"1569",42119,3
"1570",42121,4
"1571",42123,2
"1572",42125,19
"1573",42127,14
"1574",42129,25
"1575",42131,1
"1576",42133,28
"1577",44001,12
"1578",44003,47
"1579",44005,34
"1580",44007,185
"1581",44009,34
"1582",45001,1
"1583",45003,9
"1584",45007,13
"1585",45009,2
"1586",45011,3
"1587",45013,27
"1588",45015,22
"1589",45019,74
"1590",45021,2
"1591",45023,5
"1592",45025,3
"1593",45027,1
"1594",45029,14
"1595",45031,2
"1596",45033,7
"1597",45035,8
"1598",45041,15
"1599",45043,5
"1600",45045,75
"1601",45047,4
"1602",45049,2
"1603",45051,47
"1604",45053,4
"1605",45055,4
"1606",45057,3
"1607",45059,1
"1608",45061,2
"1609",45063,18
"1610",45065,2
"1611",45067,1
"1612",45071,3
"1613",45073,11
"1614",45075,8
"1615",45077,7
"1616",45079,51
"1617",45083,29
"1618",45085,17
"1619",45087,4
"1620",45091,25
"1621",46005,1
"1622",46011,2
"1623",46013,3
"1624",46015,1
"1625",46027,2
"1626",46029,1
"1627",46033,9
"1628",46035,2
"1629",46045,1
"1630",46047,1
"1631",46051,1
"1632",46065,5
"1633",46075,2
"1634",46079,1
"1635",46081,8
"1636",46083,6
"1637",46085,1
"1638",46099,18
"1639",46103,25
"1640",46109,1
"1641",46123,2
"1642",46127,1
"1643",46129,1
"1644",47001,7
"1645",47003,2
"1646",47009,11
"1647",47011,4
"1648",47013,4
"1649",47019,6
"1650",47021,1
"1651",47023,4
"1652",47029,1
"1653",47031,9
"1654",47035,9
"1655",47037,259
"1656",47041,4
